label,sentence
1,The Republican nominee won't.
1,"She (yes, it's still overwhelmingly likely to be Hillary Clinton) will, rightly, express skepticism about future trade deals, but she will be able to address the problems of working families without engaging in irresponsible trash talk about the world trade system. "
1,"What all this means, as I said, is that the Democratic nominee won't have to engage in saber-rattling over trade. "
0,"And the rest of the answer is that Denmark (and, to a lesser extent, Canada) has a much stronger social safety net than we do. "
0,"Rhetorical claims aside, Republicans have long tended in practice to be more protectionist than Democrats."
0,And there's a reason for that difference.
0,"When I say that Republicans have been more protectionist than Democrats, I'm not talking about the distant past, about the high-tariff policies of the Gilded Age; I'm talking about modern Republican presidents, like Ronald Reagan and George W. Bush."
0,"Reagan, after all, imposed an import quota on automobiles that ended up costing consumers billions of dollars."
0,"And Mr. Bush imposed tariffs on steel that were in clear violation of international agreements, only to back down after the European Union threatened to impose retaliatory sanctions."
0,"The Bush administration suffered from a bad case of superpower delusion, a belief that America could dictate events throughout the world. "
0,The falseness of that belief was most spectacularly demonstrated by the debacle in Iraq.
0,"But the reckoning came even sooner on trade, an area where other players, Europe in particular, have just as much power as we do."
1,"After the Super Tuesday primaries, Donald Trump will have the most pledged delegates."
1,Bernie Sanders Will Make the Economy Great Again
1,"There are a lot of things about the 2016 election that nobody saw coming, and one of them is that international trade policy is likely to be a major issue in the presidential campaign. "
0,This is a theme dear to my heart.
0,This money is overwhelmingly flowing to Republicans.
0,"But you really don't want to provide, um, passive support to policy ideas that would make things much worse."
0,"But go to the same place right now, and you get this: Yep ‰ÛÓ they took the offending number out."
0,I ran into Olivier Blanchard over breakfast the other day.
0,"First, where on earth does Taylor's claim that fiscal stimulus has had much less effect than expected come from?"
0,Which brings me to the case of John Taylor.
0,"Exhibit 2 shows things a bit differently, with more detail."
0,"Um, how about Pimco's own chief economist, Paul McCulley?"
0,"We do not want to lose sight of the fact that many influential people, including economists with impressive CVs, responded to macroeconomic crisis with crude logical fallacies that reflected not just sloppy thinking but ignorance of history."
0,And that insight has stood the test of time.
