label	sentence
2	"What it has wrought is limiting the impact and harm of Cuba, "
2	Mr. Obama's action gives the Castros international legitimacy and a 'badly-needed economic lifeline.'
2	"It undermines America's credibility and undermines the quest for a free and democratic Cuba, "
2	"The latest foreign policy misstep by this President, and another dramatic overreach of his executive authority"
2	[The oil-price drop] gives oil-dependent economies like Saudi Arabia and Venezuela an urgent reason to embrace reform.
2	"China is building airstrips on disputed islands in the South China sea, moving oil rigs into disputed waters and redfining its airspace without any clear programme for turning such assertion into the acknowledged status it sees as its due."
2	"Its determination to keep economic growth above 6.5% a year until 2020 is tied to the goal of doubling real GDP by 2020 over the 2010 level set out in 2012, when economic conditions were more benign."
2	"After a dismal start to the year, oil prices staged a partial recovery, with dated Brent Blend, the global benchmark, rising by almost 70% from a 13-year low of US$26/barrel in January to US$44/b on May 10th."
2	"The cause is the plunging price of a barrel of oil, which at one point fell more than 70 percent compared with June 2014 levels."
2	"But when the dollar advances, the central bank needs to guide the yuan weaker against it to safeguard the economy and keep the yuan stable against the basket.."
2	"In the services sector alone 400,000 jobs could be at risk."
2	Between a quarter and half a million refugees and their dependants could come to the UK from 2020 onwards after acquiring EU citizenship.
2	"If we complete the single market in services… it will create something like 700 to 800,000 new jobs over the coming years."
2	Trade union umbrella body the TUC says leaving the EU would cut average earnings by £38 per week by 2030.
2	Within two years the size of our economy - our GDP - would be at least 3% smaller as a result of leaving the EU - and it could be as much as 6% smaller.
2	"Accession could occur in 2020, less than three and a half years after the UK's referendum on EU membership."
2	Prices would go up if we leave the EU.
2	"Even if party leaders wanted to succeed in their stated desire for a peaceful rise and to remain within international law, the way they have shaped the spirit of their country would not necessarily let them."
2	"If, for example, China's prices rise faster than America's, and its currency, the yuan does not fall, then China's economy will be worth more, relative to America's, and it will overtake sooner."
2	We predict China overtakes US in 2021.
2	"If China could resolve its identity crisis and once again become an attractive civilization rather than just an enviable development model, it would be much better placed to get the respect and influence it craves."
2	"We expect China's growth rate to slow throughout the forecast period, from 6.5% in 2016 to 4.3% by 2020, as the economy matures, moving away from public investment and towards private consumption."
2	"Our forecast is diverging further and further from the government's growth floor of at least 6.5% a year. This suggests that the government is going to have to revise down its projections quickly for the coming years, or that poicymakers will have to deploy unsustainable level of stimulus. "
2	"Credit is growing at almost four times the rate of nominal GDP. The longer this trend lasts, the greater the chance that China will experience the much-discussed hard landing. We believe that the risk of China experiencing such an event in 2016-2020 is around 40%. It cannot go much higher without becoming our central forecast."
