label	sentence
1	Also, my worries are that China doesn't know how to slow down — that it's a bicycle economy that falls over if it stops moving forward.
1	First, it's much, much harder to get actual deflation than simply to have stable prices, so scenario A means much higher unemployment.
1	Cut off that support, and Greece suffers banking collapse.
1	Romney: I want to make sure the Federal Reserve focuses on maintaining the monetary stability that leads to a strong dollar and confidence that America is not going to go down the road that other nations have gone down, to their peril.
1	Basically, we've had multiple years of very low rates, with no hint of a runaway boom or an inflationary takeoff, so any reasonable estimate is going to say that these low, low rates are close to (and maybe above) the natural rate.
1	My sense is that a lot of what's going on in our ongoing policy disaster is that important people, up to and including the president, just find it implausible that such a big crisis could be essentially a problem of coordination, that it's just magneto trouble whose fix need not, in fact should not, involve inflicting a lot of punishment on working Americans.
1	The anti-Keynesian proposition is that government spending to boost a depressed economy will fail, because it will lead to an equal or greater fall in private spending — it will crowd out investment and maybe consumption, and therefore accomplish nothing except a shift in who spends.
1	Update: Also, if you think that US interest rates are being held down by the fact that in some sense the Treasury hasn't had to go to the market lately, since the Fed is buying debt — although the Fed isn't actually buying it direct from Treasury — consider the case of Greeece.
1	And once you add in debt-constrained players, it's likely that the effect actually goes the other way: a fall in wages worsens debt problems, and so ends up contractionary.
1	Now, Brad argues that we're going to need even more of this kind of paternalism.
1	Then again, that's probably why they will never, ever listen to what I have to say.
1	In fact, a worldwide trade war would, by definition, reduce imports by exactly the same amount that it reduces exports. 
1	Again, not the thing most people will remember about Romney's speech.
1	The moral of the Japanese example is that if other countries are managing to achieve a moderately positive rate of inflation, but you have let yourself slip into deflation or even into “lowflation”, you can indeed manage to find yourself in secular stagnation even if the rest of the world offers positive-return investment opportunities.
1	IS-LM said not, but I was sure that if you really worked it through carefully you could show that, say, doubling the monetary base will always raise prices, even if you're at the zero lower bound.
1	There are a lot of things about the 2016 election that nobody saw coming, and one of them is that international trade policy is likely to be a major issue in the presidential campaign.
1	She (yes, it's still overwhelmingly likely to be Hillary Clinton) will, rightly, express skepticism about future trade deals, but she will be able to address the problems of working families without engaging in irresponsible trash talk about the world trade system. 
1	OK, this is not going to happen — even in the best of circumstances, Syriza is going to be able to get a relaxation of the primary surplus requirement, not complete abrogation.
1	But of course they're wrong: if Sanders is the nominee, it will take around 30 seconds before Fox News is nonstop coverage of the terrible things he supposedly did when younger.
1	Since GDP is roughly $15 trillion, this means that you have to raise GDP by $300 billion per year to reduce unemployment by 1 percentage point.
1	The next thing you know, they'll be bringing back the architects of the Iraq disaster to do it all over again.
1	I can see the case for arguing that it will be nasty.
1	However, he argues that the large current account surplus of the euro area as a whole is a temporary phenomenon driven by cyclical weakness in the euro periphery, and therefore not likely to be a source of persistent trouble.
1	A weaker economy will mean lower inflation (or faster deflation), which also tends to raise the debt/GDP ratio.
1	Central banks and other policy makers will be making a terrible mistake if they look at low, stable inflation and pat themselves on the back for a job well done.
1	But now we have Mitt Romney declaring his intention to replace Ben Bernanke for, um, pursuing aggressive monetary policy to fight a recession (not aggressive enough, but that's another issue).
1	If the situation continues to look like unraveling, I would expect Draghi to say something to reassure the markets that a Greek bank cutoff is not on the table.
1	Again, not the thing most people will remember about Romney's speech.
1	As the paper says, Although this effect is not long-lasting and debt eventually declines, it could be an issue if financial markets focus on the short-term behavior of the debt ratio, or if country authorities engage in repeated rounds of tightening in an effort to get the debt ratio to converge to the official target.
1	This has led many to conclude that structural changes have occurred in the labor market and that the economy will not return to the low rates of unemployment that prevailed in the recent past.
1	And since some of the rise in income will be saved – and assuming that investment demand doesn't rise by as much – a sufficiently large rise in GDP can restore equality between desired savings and desired investment at the new interest rate.
1	As Rudi pointed out, the fall in the interest rate would induce investors to move their money abroad unless they expected the currency to rise.
1	The full list: Oklahoma Arizona Arkansas South Carolina Alabama Mississippi Georgia Texas Louisiana Florida These are places where summer would be really oppressive without air conditioning.
1	If the initial shock is perceived as permanent, this process should go all the way: the rise in US demand leads to an equal rise in interest rates around the world, and most of the demand shock is effectively diffused abroad.
1	We might add further that if the Fed can neutralize the supposedly awesome inflationary effect of quantitative easing by paying ¼ percent interest on reserves, it should be very easy to contain the inflationary threat in future.
1	And there's more — for example, Ireland went abruptly from having a stable real exchange rate against the UK to having a stable rate against Germany when it joined the European exchange rate mechanism, etc.. Incidentally, I suspect that this evidence is one reason why international macro people have tended to stay more Keynesian than domestic macro people — why those of us who read Obstfeld and Rogoff knew that Ricardian equivalence didn't imply ineffectual fiscal policy, while even Nobel laureates on the domestic macro side were getting it wrong.
1	There were fears that the Latin debt crisis would take down one or more money center banks — Citi, or Chase, say.
1	On this view, the fact that the Fed is currently buying some large fraction of debt issuance is irrelevant; interest rates are determined by the willingness at the margin of private investors to hold the existing stock of debt, regardless.
1	In this world, we'll assume that no real investment is possible, so that loans are made only to finance consumption in excess of income.
1	Mark Thoma and David Altig both react to Arthur Laffer's assertion that the increase in the monetary base presages huge inflation.
1	Second, we see that investment has, if anything, fallen LESS than you might have expected given the plunge in the economy.
1	And the Fed is very much thinking about the example of Sweden, which decided to hike rates out of vague concerns about financial stability, only to find itself staring at the very real risk of deflation.
1	And I believe that some day — maybe in the first Chelsea Clinton administration — it will actually happen.
1	But the bigger question is what happens a year or two after Grexit, where the real risk to the euro is not that Greece will fail but that it will succeed.
1	And the response of some — only some — Sanders supporters is disappointing, although I guess predictable given that somewhat similar things happened during the 2008 primary.
1	As Wren-Lewis likes to say, on this basis the ideal policy is to shut half the economy down for a while, then start it up again — that way you get 100 percent growth.
1	And Brad argues that the changing structure of the economy will mean that we want more of these goods, hence bigger government.
1	Now Lazear informs us that sure enough, mismatch was cyclical, and has in fact come way down even though unemployment remains high: What all this tells us is that the vast suffering still going on is gratuitous — that we could end this quickly with appropriate monetary and fiscal policies.
1	Suppose that we're looking at an economy that, absent stimulus, would have an average unemployment rate of 9 percent over the next two years; this plan would cut that to 7.3 percent, which would be a help but could easily be spun by critics as a failure.
1	This clearly implies a lower future tax burden than $100 billion a year forever, and therefore implies a fall in consumer spending of less than $100 billion per year.
1	If we are going to have Japan-type deflation, it obviously won't happen for quite a while.
1	And Clinton's dogged realism, while it doesn't inspire the same kind of uplift as Sanders's promise of change, can be inspiring in its own way.
1	If you go to the Conference Board numbers, you find that Finland has indeed seen a rapid rise in ULC, but not because of a wage explosion; it's all about collapsing manufacturing productivity.
1	In fact, given Greece's starting point, with debt at 170 percent of GDP, the adverse effects of austerity mean that trying to raise the primary surplus by 1 point quickly causes the debt-GDP ratio to rise by 5 points (.03*170).
1	The slump would be very prolonged, with an extended period of jobless recovery.
1	Romney declares with horror that Trump would start a trade war.
1	In this case, the BIS not only claims that low interest rates cause financial instability, but goes on to expound a sort of widow's cruse theory of interest rates, in which low rates today lead to even lower rates tomorrow, because they produce bubbles that weaken the economy further when they burst.
1	But Bernanke then goes on, as I understand him, to argue that international capital flows should solve the problem of secular stagnation unless if affects the world as a whole, because capital can seek higher returns abroad; he also argues that the global savings glut is mainly a thing of the past, and that in any case such problems can be addressed mainly by putting pressure on foreign governments to open their capital accounts and stop pursuing policies that promote excessive current account surpluses.
