does_the_sentence_contain_a_prediction,does_the_sentence_contain_a_prediction:confidence,what_kind_of_prediction_does_this_sentence_contain,what_kind_of_prediction_does_this_sentence_contain:confidence,sentence
no,1,,,"Mr. Romney claims to be aghast. "
no,1,,,"And there’s a lesson here that goes beyond this election. "
no,1,,,"Yes, and it also increases employment in industries that compete with imports."
no,1,,,"As a member of the European Union, Denmark is subject to the same global trade agreements as we are — and while it doesn’t have a free-trade agreement with Mexico, there are plenty of low-wage workers in eastern and southern Europe. "
yes,1,counterfactual,0.7301,"So let’s think of the choice being between Trump and Not-Trump, who is somewhat less awful but more likely to win in the general."
no,1,,,So Mr. Romney is talking nonsense.
no,1,,,"It’s probably bad politics to talk right now about what a trade war would do to, say, Bangladesh."
no,1,,,But so is Mr. Trump.
no,1,,,"The Bush administration suffered from a bad case of superpower delusion, a belief that America could dictate events throughout the world. "
yes,1,outcome,0.7865,"After the Super Tuesday primaries, Donald Trump will have the most pledged delegates."
no,1,,,"Actually, the latter episode should be an object lesson for anyone talking tough about trade. "
no,1,,,"And Mr. Bush imposed tariffs on steel that were in clear violation of international agreements, only to back down after the European Union threatened to impose retaliatory sanctions."
no,1,,,"Part of the answer is that workers in Denmark, two-thirds of whom are unionized, still have a lot of bargaining power."
yes,1,outcome,0.7356,Bernie Sanders Will Make the Economy Great Again
yes,1,outcome,0.7522,"It is likely that if Rubio becomes the Republican Nominee, then the Democrats will win the general election."
no,1,,,"This manipulation, he says, is “robbing Americans of billions of dollars of capital and millions of jobs.”"
no,1,,,"Did I mention that Mr. Trump wants to see rates rise? "
no,1,,,The bad news is that it was junk economics on both sides.
no,1,,,"Unfortunately, both men are talking nonsense. Are you surprised?"
no,1,,,"It’s true that globalization puts downward pressure on the wages of many workers — but progressives can offer a variety of responses to that pressure, whereas on the right, protectionism is all they’ve got."
no,1,,,"Consider, for example, the case of Denmark, which Bernie Sanders famously held up as a role model."
no,1,,,"And much of that flight capital is heading for the United States, pushing up the dollar and making our industries less competitive."
no,1,,,And there’s a reason for that difference.
no,1,,,"Rhetorical claims aside, Republicans have long tended in practice to be more protectionist than Democrats."
no,1,,,"In the figure, I use orange to represent Trump (I tried to replicate the spray tan, but this was as close as I could get), and red to represent non-Trump."
no,1,,,"What can we do to fight imported economic weakness? "
yes,1,outcome,1,Hillary Clinton will be the Democratic Nominee
yes,0.9046,outcome,0.5708,"In fact, a worldwide trade war would, by definition, reduce imports by exactly the same amount that it reduces exports. "
no,0.8238,,0,But it doesn’t cause recessions.
no,0.8238,,0,"Yet last week, offstage, there was in effect a real debate about economic policy between Donald Trump and Mitt Romney, who is trying to block his nomination."
no,0.8238,,0,"But this isn’t as peculiar a development as it seems. "
no,0.8238,,0,"And the rest of the answer is that Denmark (and, to a lesser extent, Canada) has a much stronger social safety net than we do. "
no,0.8238,,0,The good news is that there was a real policy debate going on within the G.O.P. last week.
no,0.8163,,0,"All around the world, capital is fleeing troubled economies — including, by the way, the euro area, which these days tends to run bigger trade surpluses than China. "
no,0.8163,,0,The starting point for this debate is Mr. Trump’s deviation from free-market orthodoxy on international trade.
no,0.8163,,0,Doesn’t a trade war reduce employment in export industries?
no,0.8163,,0,"Still, it’s something people think about, and I found myself trying to clarify things with a silly diagram."
no,0.8163,,0,"No, it didn’t — protectionism was a result of the Depression, not its cause."
yes,0.802,counterfactual,0.5845,Yet Denmark has much lower inequality than we do. Why?
yes,0.802,outcome,0.5115,"But these days China is in big trouble, and is trying to keep the value of its currency up, not down: foreign exchange reserves are plunging in the face of huge capital flight, to the tune of a trillion dollars over the past year."
yes,0.802,scenario,0.5115,"Five years ago the Trump complaint that Chinese currency manipulation was costing U.S. jobs had some validity — in fact, serious economists were making the same point. "
yes,0.7932,other,0.5699,"Not only that, but he’s a full-on conspiracy theorist, declaring that Janet Yellen, the Fed’s chairperson, is keeping interest rates down as a favor to President Obama, who “wants to be out playing golf a year from now.”"
no,0.7899,,0,"But the reckoning came even sooner on trade, an area where other players, Europe in particular, have just as much power as we do."
no,0.7865,,0,"But wait, it gets better: at the time, Mr. Romney was saying almost exactly the same things Mr. Trump is saying now. "
no,0.7865,,0,"If you’re generally a supporter of open world markets — which you should be, mainly because market access is so important to poor countries — you need to know that whatever they may say, politicians who espouse rigid free-market ideology are not on your side."
no,0.7865,,0,But back to the broader issue of how to help workers pressured by the global economy.
no,0.7865,,0,"In fact, many of the bad things we associate with globalization in America were political choices, not necessary consequences — and they didn’t happen in other advanced countries, even though those countries faced the same global forces we did."
yes,0.7826,scenario,0.2941,"If U.S. corporations were able to use the threat of imports to smash unions, it was only because our political environment supported union-busting. "
no,0.7826,,0,But didn’t protectionism cause the Great Depression?
no,0.7783,,0,"Even Canada, right next door, has seen nothing like the union collapse that took place here."
no,0.7783,,0,So there you have it.
no,0.7767,,0,This is pretty funny if you remember anything about the 2012 campaign.
no,0.7767,,0,"When I say that Republicans have been more protectionist than Democrats, I’m not talking about the distant past, about the high-tariff policies of the Gilded Age; I’m talking about modern Republican presidents, like Ronald Reagan and George W. Bush."
yes,0.776,scenario,0.5282,But any responsible future president would have to think hard about such matters.
no,0.7733,,0,"But protectionism isn’t the only way to fight that downward pressure. "
no,0.7733,,0,The formal debates among the Republicans who would be president have exceeded all expectations.
no,0.7733,,0,"In America, we’re constantly told that global competition means that we can’t even afford even the safety net we have; strange to say, other rich countries don’t seem to have that problem."
no,0.7721,,0,The risks tilt heavility toward inflation rates below official targets.
no,0.7697,,0,"Nor is China alone. "
no,0.7582,,0,"Reagan, after all, imposed an import quota on automobiles that ended up costing consumers billions of dollars."
yes,0.7549,outcome,0.4912,"If the US institutes a 15 dollar minimum wage, the economy will do worse than if we instituted a negative income tax. "
no,0.7544,,0,"Even the most hardened cynics couldn’t have imagined that the candidates would sink so low, and stay so focused on personal insults."
no,0.7363,,0,Why not?
yes,0.7363,outcome,0.7363,"She (yes, it’s still overwhelmingly likely to be Hillary Clinton) will, rightly, express skepticism about future trade deals, but she will be able to address the problems of working families without engaging in irresponsible trash talk about the world trade system. "
no,0.7356,,0,The falseness of that belief was most spectacularly demonstrated by the debacle in Iraq.
no,0.7346,,0,"Serious economic analysis has never supported the Panglossian view of trade as win-win for everyone that is popular in elite circles: growing trade can indeed hurt many people, and for the past few decades globalization has probably been, on net, a depressing force for the majority of U.S. workers."
yes,0.7301,outcome,0.4771,In his stop-Trump speech last week he warned that if The Donald became president America would “sink into prolonged recession.”
yes,0.706,outcome,0.2817,"What all this means, as I said, is that the Democratic nominee won’t have to engage in saber-rattling over trade. "
yes,0.7059,counterfactual,0.2905,"While Ted Cruz may insist that the liberal media are conspiring to choose Trump so they can blow him up later — it’s all tinfoil hats over there, folks — the truth is that Republican primary voters don’t watch John Oliver, and an endorsement from the NY Times is probably the kiss of death."
no,0.6938,,0,"More important than Mr. Romney’s awkward history here, however, is the fact that his economic analysis is all wrong."
yes,0.6938,other,0.4423,Nor is the threat of retaliation the only factor that should deter any hard protectionist turn.
no,0.6932,,0,"There’s also the collateral damage such a turn would inflict on poor countries. "
no,0.6932,,0,"Then again, we might be talking about President Trump."
yes,0.6835,scenario,0.4404,"Meanwhile, I think that Trump would be a very weak general election candidate — the conditions that have let him flourish in the GOP are really unique to that party."
yes,0.6783,other,0.247,"He promised to — you guessed it — declare China a currency manipulator, while attacking President Obama for failing to do so."
yes,0.663,scenario,0.4363,"Protectionism can do real harm, making economies less efficient and reducing long-run growth."
no,0.5688,,0,"n each case, the expected awfulness is the product of the probability of election versus the awfulness if elected, i.e., the area of a rectangle whose base is the probability and whose height is the awfulness:"
no,0.5637,,0,The Republican nominee won’t.
no,0.5596,,0,So I think that progressives should be cheering Trump on (which is why my secret committee has been orchestrating that conspiracy Cruz talks about.)
no,0.5596,,0,"Back then, in accepting Mr. Trump’s endorsement, Mr. Romney praised the businessman (who was already a well-known “birther”) as someone with an “extraordinary ability to understand how our economy works.”"
no,0.5596,,0,"The basic answer is, of course, who cares?"
yes,0.5577,outcome,0.3062,"And he brushed off concerns about starting a trade war, declaring that one was already underway: “It’s a silent one, and they’re winning.”"
no,0.5567,,0,"As you can see, the downside of a Trump nomination is his extra awfulness multiplied by his chance of winning; the downside of Non-Trump is his own awfulness, multiplied by the extra chance of a GOP victory."
no,0.5567,,0,(This worked better before Marco Rubio’s implosion; Cruz may be just as awful and just as bad a candidate as Trump.)
no,0.556,,0,Should progressives fear a Trump nomination or cheer it on?
no,0.549,,0,"By the way, if you want an example of a policy that really did have a lot to do with the Great Depression’s spread, that would be the gold standard — which Ted Cruz wants to restore."
no,0.5469,,0,Then the comparison is between the expected awfulness to come if the GOP chooses Trump versus choosing non-Trump.
no,0.5413,,0,"What’s more, the positions of the parties will be the reverse of what you might have expected: Republicans, who claim to stand for free markets, are likely to nominate a crude protectionist, leaving Democrats, with their skepticism about untrammeled markets, as the de facto defenders of relatively open trade."
no,0.5329,,0,But it’s not a problem we can address by lashing out at foreigners we falsely imagine are winning at our expense.
no,0.5329,,0,His solution is “countervailing duties” — basically tariffs — similar to those we routinely impose when foreign countries are found to be subsidizing exports in violation of trade agreements.
