id,does_the_sentence_contain_a_prediction,does_the_sentence_contain_a_prediction:confidence,sentence
923325943,yes,1,"Meanwhile, I think that Trump would be a very weak general election candidate — the conditions that have let him flourish in the GOP are really unique to that party."
923326032,yes,1,"If the US institutes a 15 dollar minimum wage, the economy will do worse than if we instituted a negative income tax. "
923326031,yes,1,"It is likely that if Rubio becomes the Republican Nominee, then the Democrats will win the general election."
923325938,yes,0.5,Then the comparison is between the expected awfulness to come if the GOP chooses Trump versus choosing non-Trump.
923326030,yes,1,Hillary Clinton will be the Democratic Nominee
923325941,yes,0.5,"As you can see, the downside of a Trump nomination is his extra awfulness multiplied by his chance of winning; the downside of Non-Trump is his own awfulness, multiplied by the extra chance of a GOP victory."
923326024,yes,0.75,"She (yes, it’s still overwhelmingly likely to be Hillary Clinton) will, rightly, express skepticism about future trade deals, but she will be able to address the problems of working families without engaging in irresponsible trash talk about the world trade system. "
923325964,yes,0.7625,"Protectionism can do real harm, making economies less efficient and reducing long-run growth."
923325944,yes,0.75,So I think that progressives should be cheering Trump on (which is why my secret committee has been orchestrating that conspiracy Cruz talks about.)
923326019,yes,0.5263,"If U.S. corporations were able to use the threat of imports to smash unions, it was only because our political environment supported union-busting. "
923326010,yes,1,"Then again, we might be talking about President Trump."
923326007,yes,0.75,"There’s also the collateral damage such a turn would inflict on poor countries. "
923326002,yes,0.5,"Actually, the latter episode should be an object lesson for anyone talking tough about trade. "
923325994,yes,0.7368,"What’s more, the positions of the parties will be the reverse of what you might have expected: Republicans, who claim to stand for free markets, are likely to nominate a crude protectionist, leaving Democrats, with their skepticism about untrammeled markets, as the de facto defenders of relatively open trade."
923325992,yes,1,Bernie Sanders Will Make the Economy Great Again
923325991,yes,0.7271,"After the Super Tuesday primaries, Donald Trump will have the most pledged delegates."
923325956,yes,0.7692,In his stop-Trump speech last week he warned that if The Donald became president America would “sink into prolonged recession.”
923325932,no,1,Should progressives fear a Trump nomination or cheer it on?
923325955,no,1,"Mr. Romney claims to be aghast. "
923325954,no,0.7436,His solution is “countervailing duties” — basically tariffs — similar to those we routinely impose when foreign countries are found to be subsidizing exports in violation of trade agreements.
923325957,no,0.7895,"Why? The only specific reason he gave was that those duties would “instigate a trade war and that would raise prices for consumers, kill our export jobs and lead entrepreneurs and businesses of all stripes to flee America.”"
923325958,no,1,This is pretty funny if you remember anything about the 2012 campaign.
923325959,no,1,"Back then, in accepting Mr. Trump’s endorsement, Mr. Romney praised the businessman (who was already a well-known “birther”) as someone with an “extraordinary ability to understand how our economy works.”"
923325960,no,1,"But wait, it gets better: at the time, Mr. Romney was saying almost exactly the same things Mr. Trump is saying now. "
