id,does_the_excerpt_contain_a_prediction,does_the_excerpt_contain_a_prediction:confidence,sentence
937053524,yes,0.6863,"Also, my worries are that China doesn’t know how to slow down — that it’s a bicycle economy that falls over if it stops moving forward."
937052697,yes,0.665,"First, it’s much, much harder to get actual deflation than simply to have stable prices, so scenario A means much higher unemployment."
937054570,yes,0.6705,"Cut off that support, and Greece suffers banking collapse."
937053265,yes,0.6496,"Romney: I want to make sure the Federal Reserve focuses on maintaining the monetary stability that leads to a strong dollar and confidence that America is not going to go down the road that other nations have gone down, to their peril."
937057065,yes,0.6592,"Basically, we’ve had multiple years of very low rates, with no hint of a runaway boom or an inflationary takeoff, so any reasonable estimate is going to say that these low, low rates are close to (and maybe above) the natural rate."
937052918,yes,1,"My sense is that a lot of what’s going on in our ongoing policy disaster is that important people, up to and including the president, just find it implausible that such a big crisis could be essentially a problem of coordination, that it’s just magneto trouble whose fix need not, in fact should not, involve inflicting a lot of punishment on working Americans."
937053945,yes,1,"The anti-Keynesian proposition is that government spending to boost a depressed economy will fail, because it will lead to an equal or greater fall in private spending — it will crowd out investment and maybe consumption, and therefore accomplish nothing except a shift in who spends."
937052806,yes,0.6504,"Update: Also, if you think that US interest rates are being held down by the fact that in some sense the Treasury hasn’t had to go to the market lately, since the Fed is buying debt — although the Fed isn’t actually buying it direct from Treasury — consider the case of Greeece."
937052672,yes,1,"And once you add in debt-constrained players, it’s likely that the effect actually goes the other way: a fall in wages worsens debt problems, and so ends up contractionary."
937056286,yes,0.6693,"Now, Brad argues that we’re going to need even more of this kind of paternalism."
937056591,yes,0.6763,"Then again, that’s probably why they will never, ever listen to what I have to say."
937057361,yes,0.6841,"In fact, a worldwide trade war would, by definition, reduce imports by exactly the same amount that it reduces exports. "
937057028,yes,1,"Again, not the thing most people will remember about Romney’s speech."
937056167,yes,0.6756,"The moral of the Japanese example is that if other countries are managing to achieve a moderately positive rate of inflation, but you have let yourself slip into deflation or even into “lowflation”, you can indeed manage to find yourself in secular stagnation even if the rest of the world offers positive-return investment opportunities."
937054049,yes,1,"IS-LM said not, but I was sure that if you really worked it through carefully you could show that, say, doubling the monetary base will always raise prices, even if you’re at the zero lower bound."
937057386,yes,1,"There are a lot of things about the 2016 election that nobody saw coming, and one of them is that international trade policy is likely to be a major issue in the presidential campaign. "
937057417,yes,0.6731,"She (yes, it’s still overwhelmingly likely to be Hillary Clinton) will, rightly, express skepticism about future trade deals, but she will be able to address the problems of working families without engaging in irresponsible trash talk about the world trade system. "
937054448,yes,1,"OK, this is not going to happen — even in the best of circumstances, Syriza is going to be able to get a relaxation of the primary surplus requirement, not complete abrogation."
937056996,yes,0.677,"But of course they’re wrong: if Sanders is the nominee, it will take around 30 seconds before Fox News is nonstop coverage of the terrible things he supposedly did when younger."
937052123,yes,0.6597,"Since GDP is roughly $15 trillion, this means that you have to raise GDP by $300 billion per year to reduce unemployment by 1 percentage point."
937056891,yes,1,"The next thing you know, they’ll be bringing back the architects of the Iraq disaster to do it all over again."
937052076,yes,0.6344,I can see the case for arguing that it will be nasty.
937056170,yes,0.6746,"However, he argues that the large current account surplus of the euro area as a whole is a temporary phenomenon driven by cyclical weakness in the euro periphery, and therefore not likely to be a source of persistent trouble."
937056505,yes,0.694,"A weaker economy will mean lower inflation (or faster deflation), which also tends to raise the debt/GDP ratio."
937053421,yes,0.6759,"Central banks and other policy makers will be making a terrible mistake if they look at low, stable inflation and pat themselves on the back for a job well done."
937053264,yes,0.6872,"But now we have Mitt Romney declaring his intention to replace Ben Bernanke for, um, pursuing aggressive monetary policy to fight a recession (not aggressive enough, but that’s another issue)."
937054575,yes,0.684,"If the situation continues to look like unraveling, I would expect Draghi to say something to reassure the markets that a Greek bank cutoff is not on the table."
937057051,yes,0.6565,"Again, not the thing most people will remember about Romney’s speech."
937053380,yes,1,"As the paper says, Although this effect is not long-lasting and debt eventually declines, it could be an issue if financial markets focus on the short-term behavior of the debt ratio, or if country authorities engage in repeated rounds of tightening in an effort to get the debt ratio to converge to the official target."
937053534,yes,1,This has led many to conclude that structural changes have occurred in the labor market and that the economy will not return to the low rates of unemployment that prevailed in the recent past.
937052950,yes,0.6667,And since some of the rise in income will be saved – and assuming that investment demand doesn’t rise by as much – a sufficiently large rise in GDP can restore equality between desired savings and desired investment at the new interest rate.
937053794,yes,0.6789,"As Rudi pointed out, the fall in the interest rate would induce investors to move their money abroad unless they expected the currency to rise."
937056006,yes,0.6489,The full list: Oklahoma Arizona Arkansas South Carolina Alabama Mississippi Georgia Texas Louisiana Florida These are places where summer would be really oppressive without air conditioning.
